entity_id,legal_name,sf_account_id,sf_account_owner,sf_billing_country,sf_sector,chainalysis_client_status,abs_stage
554736e28b9f,Stratos Europe Ltd,,Alex Cable,United States,Private,Partner,
a0d8530e4167,TEROXX DIGITAL ASSET LTD,0016Q00001YzsA0QAJ,Paula Burgess,United States,Private,In Salesforce (no type),
29f0a9e6b2ec,Safello AB,,Richard Gannon,Sweden,Private,Active Customer,
f8fc2e5aa0bc,Legend Financial Ireland Limited,,Chris Velez,United States,Private,Not in Salesforce,
e88ab659f2c1,EU Internet Ventures B.V.,,Drey Dias,Colombia,Private,Not in Salesforce,
0dd37df90eae,BLOX B.V.,0016Q00001pojMeQAI,Paula Burgess,Netherlands,Private,Customer (status unset),
0f91514fada5,Gate Technology Limited,0016Q00001bJ2ztQAC,Ray Chia,Malta,Private,Active Customer,Open
2bd554a9501a,COLLECT & EXCHANGE CY LTD,,Chris Velez,United States,Private,Not in Salesforce,
8a656ce88622,Trading 212 Markets Ltd,001VM000003pX0DYAU,Fabien Ribert,Netherlands,Private,Customer (status unset),
cba137365f5e,ILIRIKA borzno posredniška hiša d.d.,,Chris Velez,United States,Private,Not in Salesforce,
67af364e6deb,V-Bank AG,0016Q00001X64VPQAZ,Jed Sibley,Germany,Private,Active Customer,Active
67e441a35071,Lunar Block A/S,0016Q00001YzPyRQAV,Richard Gannon,Denmark,Private,In Salesforce (no type),
6f36d45cf8db,Bittimaatti Oy,001VM000007GZc5YAG,Henry Fletcher,Finland,Private,Active Customer,Open
4290b9d949f3,Tesseract Investment Oy,0015w00002VEH6wAAH,Richard Gannon,Finland,Private,In Salesforce (no type),
98663145d9f7,FINCTEK UE SAS,0016Q00001u87D3QAI,Paula Burgess,United States,Private,In Salesforce (no type),
e379aecf0381,Socios Europe Services Limited,001VM00000cE4ttYAC,Fabien Ribert,Malta,Private,Active Customer,Active
5c99f91cbcf9,Bullish Europe GmbH,0015w00002XZQSFAA5,Bryce Hedrick,Gibraltar,Private,Customer (status unset),
508ed71f7422,Gemini Intergalactic EU Ltd,,Bryce Hedrick,United States,Private,Active Customer,Active
9606afccfe3d,Dietrich & Richter Private Asset Management AG,,Chris Velez,United States,Private,Not in Salesforce,
9664de7f930a,Smartbroker AG,,Chris Velez,United States,Private,Not in Salesforce,
